순위,2년전_종목,2년전_시가총액(조),2년전_비율(%),2년전_테마,1년전_종목,1년전_시가총액(조),1년전_비율(%),1년전_테마,오늘_종목,오늘_시가총액(조),오늘_비율(%),오늘_테마
1,삼성전자,394.01,45.15,반도체,삼성전자,359.98,39.85,반도체,삼성전자,526.85,41.43,반도체
2,LG에너지솔루션,108.58,12.44,2차전지,SK하이닉스,129.58,14.35,반도체,SK하이닉스,287.92,22.64,반도체
3,SK하이닉스,87.65,10.04,반도체,LG에너지솔루션,102.14,11.31,2차전지,LG에너지솔루션,93.37,7.34,2차전지
4,삼성바이오로직스,52.03,5.96,바이오의약품,삼성바이오로직스,71.46,7.91,바이오 의약품,삼성바이오로직스,71.81,5.65,바이오의약품
5,삼성전자우,43.61,5.0,반도체,현대차,51.52,5.7,전기차,삼성전자우,57.12,4.49,반도체
6,POSCO홀딩스,43.47,4.98,철강,셀트리온,41.49,4.59,바이오제약,한화에어로스페이스,56.57,4.45,방산
7,현대차,40.66,4.66,전기차,삼성전자우,41.06,4.55,반도체,HD현대중공업,46.87,3.69,조선업
8,LG화학,35.26,4.04,2차전지,기아,39.83,4.41,전기차,현대차,45.05,3.54,전기차
9,기아,34.25,3.93,전기차,KB금융,35.18,3.89,금융 서비스,KB금융,44.55,3.5,금융 서비스
10,삼성SDI,33.08,3.79,2차전지,POSCO홀딩스,31.07,3.44,철강,두산에너빌리티,41.51,3.26,신재생에너지
