순위,종목코드,종목명,시가총액(조),시가총액비율(%),1순위테마,2순위테마,3순위테마
1,005930,삼성전자,558.81,18.79,반도체,AI 반도체,시스템반도체
2,000660,SK하이닉스,311.59,10.47,반도체,AI 반도체,메모리 반도체
3,373220,LG에너지솔루션,84.12,2.83,2차전지,전기차,에너지 저장 시스템
4,207940,삼성바이오로직스,72.17,2.43,바이오의약품,CDMO,바이오헬스
5,005935,삼성전자우,60.71,2.04,반도체,AI 반도체,시스템반도체
6,012450,한화에어로스페이스,53.73,1.81,방산,우주항공,로봇
7,034020,두산에너빌리티,47.72,1.6,원자력,재생에너지,수소경제
8,329180,HD현대중공업,45.72,1.54,조선,해양플랜트,친환경 에너지
9,005380,현대차,44.43,1.49,전기차,자율주행,스마트 모빌리티
10,105560,KB금융,43.03,1.45,금융,디지털 뱅킹,ESG 투자
11,035420,NAVER,41.96,1.41,인터넷 플랫폼,AI,콘텐츠
12,068270,셀트리온,40.09,1.35,바이오의약품,항체치료제,면역항암제
13,000270,기아,39.62,1.33,전기차,친환경차,스마트 모빌리티
14,055550,신한지주,34.96,1.18,금융,디지털 금융,자산 관리
15,028260,삼성물산,34.42,1.16,건설,부동산,인프라
16,042660,한화오션,33.49,1.13,조선업,방산,해양에너지
17,402340,SK스퀘어,32.74,1.1,핀테크,투자 플랫폼,블록체인
18,032830,삼성생명,32.0,1.08,보험,금융서비스,헬스케어
19,009540,HD한국조선해양,29.37,0.99,조선,해양플랜트,친환경 선박
20,035720,카카오,27.47,0.92,메타버스,인터넷 플랫폼,AI
