순위,종목코드,종목명,시가총액(조),시가총액비율(%),1순위테마,2순위테마,3순위테마
1,NVDA,NVIDIA Corporation,6652.188,11.198,AI반도체,데이터센터,자율주행
2,MSFT,Microsoft Corporation,5418.475,9.121,클라우드,AI,생산성소프트웨어
3,AAPL,Apple Inc.,5299.827,8.922,스마트폰,AI,서비스
4,GOOGL,Alphabet Inc.,4111.442,6.921,클라우드,AI,디지털광고
5,AMZN,"Amazon.com, Inc.",3381.694,5.693,전자상거래,클라우드,AI
6,META,"Meta Platforms, Inc.",2568.042,4.323,소셜미디어,메타버스,광고
7,AVGO,Broadcom Inc.,2296.158,3.865,반도체,5G,AI
8,TSLA,"Tesla, Inc.",2041.403,3.436,전기차,자율주행,에너지저장
9,BRK-B,Berkshire Hathaway Inc.,1492.505,2.512,투자전략,보험,포트폴리오다각화
10,ORCL,Oracle Corporation,1217.688,2.05,클라우드,데이터베이스,AI
11,JPM,JPMorgan Chase & Co.,1191.719,2.006,금융서비스,디지털뱅킹,투자은행
12,WMT,Walmart Inc.,1144.606,1.927,소매업,전자상거래,물류관리
13,LLY,Eli Lilly and Company,1081.217,1.82,바이오제약,당뇨병치료,면역치료
14,V,Visa Inc.,946.863,1.594,디지털결제,핀테크,보안
15,NFLX,"Netflix, Inc.",740.938,1.247,스트리밍서비스,콘텐츠제작,구독모델
16,MA,Mastercard Incorporated,717.402,1.208,디지털결제,핀테크,보안솔루션
17,XOM,Exxon Mobil Corporation,668.596,1.126,석유,천연가스,에너지전환
18,JNJ,Johnson & Johnson,643.788,1.084,헬스케어,제약,소비재
19,COST,Costco Wholesale Corporation,581.387,0.979,소매업,회원제서비스,물류관리
20,ABBV,AbbVie Inc.,578.959,0.975,바이오제약,면역학,암치료
21,HD,"The Home Depot, Inc.",528.696,0.89,홈리모델링,DIY,건축자재
22,BAC,Bank of America Corporation,519.575,0.875,금융서비스,디지털뱅킹,경제회복
23,AMD,"Advanced Micro Devices, Inc.",517.398,0.871,AI반도체,게임,데이터센터
24,PG,The Procter & Gamble Company,491.371,0.827,소비재,지속가능성,헬스케어
25,UNH,UnitedHealth Group Incorporated,460.06,0.774,헬스케어,디지털헬스,보험
26,GE,GE Aerospace,443.41,0.746,항공우주,방산,혁신기술
27,CVX,Chevron Corporation,424.777,0.715,석유,천연가스,재생에너지
28,KO,The Coca-Cola Company,401.575,0.676,음료,브랜드가치,지속가능성
29,IBM,International Business Machines Corporation,372.328,0.627,클라우드컴퓨팅,AI,기업소프트웨어
30,PM,Philip Morris International Inc.,346.628,0.584,담배대체품,글로벌시장,지속가능성
31,CAT,Caterpillar Inc.,335.006,0.564,건설장비,인프라투자,지속가능성
32,GS,"The Goldman Sachs Group, Inc.",334.833,0.564,금융서비스,투자은행,자산관리
33,CRM,"Salesforce, Inc.",326.043,0.549,클라우드,CRM,AI
34,ABT,Abbott Laboratories,324.439,0.546,의료기술,진단기기,헬스케어
35,AXP,American Express Company,318.516,0.536,디지털결제,금융서비스,소비자신용
36,MRK,"Merck & Co., Inc.",306.59,0.516,제약,백신,생명과학
37,LIN,Linde plc,300.716,0.506,산업가스,청정에너지,수소경제
38,MU,"Micron Technology, Inc.",299.685,0.504,메모리반도체,AI반도체,데이터센터
39,RTX,RTX Corporation,298.522,0.503,방산,항공우주,첨단기술
40,MCD,McDonald's Corporation,293.65,0.494,패스트푸드,프랜차이즈,건강식품
41,PEP,"PepsiCo, Inc.",286.644,0.483,음료,건강식품,지속가능성
42,TMO,Thermo Fisher Scientific Inc.,282.941,0.476,생명과학,진단기술,바이오제약
43,TMO,Thermo Fisher Scientific Inc.,282.863,0.476,생명과학,진단기기,바이오테크
44,DIS,The Walt Disney Company,282.797,0.476,스트리밍서비스,테마파크,콘텐츠제작
45,NOW,"ServiceNow, Inc.",264.576,0.445,클라우드서비스,IT서비스관리,자동화
